Date,League,Home_Team,Away_Team,FTR,FTHG,FTAG,HS,AS,HST,AST,Home_ELO,Away_ELO,Home_Win_Streak,Away_Win_Streak,Home_Loss_Streak,Away_Loss_Streak,Home_Unbeaten_Streak,Away_Unbeaten_Streak,Home_Winless_Streak,Away_Winless_Streak,Home_Points_Last_5,Away_Points_Last_5,Home_Points_Last_10,Away_Points_Last_10,Home_Points_Last_20,Away_Points_Last_20,Home_Net_FTG,Away_Net_FTG,Home_Net_S,Away_Net_S,Home_Net_ST,Away_Net_ST,FTHG_Conceded,FTAG_Conceded,HST_Conceded,AST_Conceded,HS_Conceded,AS_Conceded
2023-09-30,SP1,Getafe,Villarreal,1,0,0,22,3,9,0,972.708933235535,945.827044655838,2,0,0,0,3,1,0,2,7,4,8,7,8,7,0,0,19,-19,9,-9,0,0,0,9,3,22
2023-09-30,SP1,Vallecano,Mallorca,1,2,2,19,9,5,4,993.261352745096,953.309264282689,0,0,0,1,2,0,1,1,5,5,11,6,11,6,0,0,10,-10,1,-1,2,2,4,5,9,19
2023-09-30,SP1,Girona,Real Madrid,0,0,3,13,14,3,7,1164.00535096334,1117.2875997776,3,0,0,1,3,0,0,1,15,12,19,18,19,18,-3,3,-1,1,-4,4,3,0,7,3,14,13
2023-09-30,SP1,Sociedad,Athletic Club,2,3,0,8,18,5,3,1075.24069499372,1120.83149337383,2,1,0,0,4,3,0,0,10,11,12,14,12,14,3,-3,-10,10,2,-2,0,3,3,5,18,8
2023-10-01,SP1,Almeria,Granada,1,3,3,17,19,5,4,823.870403026679,870.671193212427,0,0,0,3,1,0,4,3,2,4,2,4,2,4,0,0,-2,2,1,-1,3,3,4,5,19,17
2023-10-01,SP1,Alaves,Osasuna,0,0,2,17,10,3,3,923.660824007176,938.404819076998,0,0,1,1,0,0,1,1,4,4,7,7,7,7,-2,2,7,-7,0,0,2,0,3,3,10,17
2023-10-01,SP1,Ath Madrid,Cadiz,2,3,2,18,8,9,4,1145.14777163149,974.505510071148,2,0,0,0,2,1,0,3,10,6,13,9,13,9,1,-1,10,-10,5,-5,2,3,4,9,8,18
2023-10-01,SP1,Betis,Valencia,2,3,0,15,9,7,2,957.397995686691,1021.60707124092,0,0,0,0,3,1,1,2,5,4,9,10,9,10,3,-3,6,-6,5,-5,0,3,2,7,9,15
2023-10-02,SP1,Las Palmas,Celta,2,2,1,16,11,5,3,918.235366264514,919.242828356801,1,0,0,1,3,0,0,1,4,4,5,5,5,5,1,-1,5,-5,2,-2,1,2,3,5,11,16
2023-10-06,SP1,Athletic Club,Almeria,2,3,0,23,4,9,1,1059.18500541171,826.012717255808,0,0,0,2,3,0,1,3,8,2,14,3,14,3,3,-3,19,-19,8,-8,0,3,1,9,4,23
2023-10-07,SP1,Cadiz,Girona,0,0,1,8,20,2,5,957.069575317199,1102.18506785858,0,3,0,0,4,4,1,0,5,12,9,19,9,19,-1,1,-12,12,-3,3,1,0,5,2,20,8
2023-10-07,SP1,Real Madrid,Osasuna,2,4,0,19,7,9,1,1179.10788288236,980.402384069918,3,1,0,0,3,1,0,0,12,4,21,10,21,10,4,-4,12,-12,8,-8,0,4,1,9,7,19
2023-10-07,SP1,Mallorca,Valencia,1,1,1,9,11,5,3,955.141059109709,957.110758122466,0,0,0,1,2,0,3,3,6,4,7,10,7,10,0,0,-2,2,2,-2,1,1,3,5,11,9
2023-10-07,SP1,Sevilla,Vallecano,1,2,2,22,7,6,4,983.012192031508,991.429557918077,2,0,0,0,2,1,0,2,7,6,7,12,7,12,0,0,15,-15,2,-2,2,2,4,6,7,22
2023-10-08,SP1,Villarreal,Las Palmas,0,1,2,9,8,4,5,947.062536944185,950.328156692263,0,0,1,4,0,0,1,4,5,6,8,8,8,8,-1,1,1,-1,-1,1,2,1,5,4,8,9
2023-10-08,SP1,Ath Madrid,Sociedad,2,2,1,14,13,5,4,1162.58370638544,1136.88718295584,3,1,0,0,3,1,0,0,12,12,16,15,16,15,1,-1,1,-1,1,-1,1,2,4,5,13,14
2023-10-08,SP1,Alaves,Betis,1,1,1,15,6,5,2,881.663259014256,1021.89430880515,0,0,2,0,0,1,2,3,4,8,7,12,7,12,0,0,9,-9,3,-3,1,1,2,5,6,15
2023-10-08,SP1,Celta,Getafe,1,2,2,26,3,11,2,887.150037929053,971.473440947188,0,0,0,0,1,1,4,4,4,5,5,9,5,9,0,0,23,-23,9,-9,2,2,2,11,3,26
2023-10-08,SP1,Granada,Barcelona,1,2,2,7,22,2,10,868.528878983298,1181.772291366,0,0,0,0,1,4,2,1,2,13,5,20,5,20,0,0,-15,15,-8,8,2,2,10,2,22,7
2023-10-20,SP1,Osasuna,Granada,2,2,0,12,13,6,3,949.232519125462,880.001994777934,0,0,1,0,0,1,4,4,4,3,10,6,10,6,2,-2,-1,1,3,-3,0,2,3,6,13,12
2023-10-21,SP1,Sociedad,Mallorca,2,1,0,14,18,6,7,1107.24961417083,955.231766129614,3,0,0,0,5,1,0,2,9,6,15,8,15,8,1,-1,-4,4,-1,1,0,1,7,6,18,14
2023-10-21,SP1,Getafe,Betis,1,1,1,14,13,4,3,967.664696614893,1015.7656705106,0,0,0,0,4,2,1,4,6,6,10,13,10,13,0,0,1,-1,1,-1,1,1,3,4,13,14
2023-10-21,SP1,Sevilla,Real Madrid,1,1,1,17,14,7,5,983.399750232494,1210.27774782682,0,1,0,0,3,1,1,0,8,12,8,24,8,24,0,0,3,-3,2,-2,1,1,5,7,14,17
2023-10-21,SP1,Celta,Ath Madrid,0,0,3,16,12,3,7,890.958782261349,1192.22127517044,0,1,0,0,2,1,5,0,2,12,6,19,6,19,-3,3,4,-4,-4,4,3,0,7,3,12,16
2023-10-22,SP1,Las Palmas,Vallecano,0,0,1,12,12,6,4,982.027390855224,991.041999717091,2,0,0,0,4,2,0,3,9,7,11,13,11,13,-1,1,0,0,2,-2,1,0,4,6,12,12
2023-10-22,SP1,Girona,Almeria,2,5,2,19,9,8,5,1121.54600382622,803.421293202828,0,0,1,3,0,0,1,4,12,2,22,3,22,3,3,-3,10,-10,3,-3,2,5,5,8,9,19
2023-10-22,SP1,Villarreal,Alaves,1,1,1,12,16,3,7,915.363302781223,887.791897308802,0,0,2,0,0,1,2,4,5,2,8,8,8,8,0,0,-4,4,-4,4,1,1,7,3,16,12
2023-10-22,SP1,Barcelona,Athletic Club,2,1,0,12,10,7,3,1170.29917557137,1081.77642946469,4,0,0,1,4,0,0,1,11,10,21,17,21,17,1,-1,2,-2,4,-4,0,1,3,7,10,12
2023-10-23,SP1,Valencia,Cadiz,2,2,0,12,5,4,4,957.020051102561,937.708639349562,0,0,1,1,0,0,1,4,5,2,11,9,11,9,2,-2,7,-7,0,0,0,2,4,4,5,12
2023-10-27,SP1,Girona,Celta,2,1,0,12,4,2,2,1136.60617846266,874.59381390269,1,0,0,2,1,0,0,2,12,2,25,6,25,6,1,-1,8,-8,0,0,0,1,2,2,4,12
2023-10-28,SP1,Almeria,Las Palmas,0,1,2,10,10,4,3,788.361118566388,950.857480750332,0,1,0,0,2,1,5,0,2,9,3,11,3,11,-1,1,0,0,1,-1,2,1,3,4,10,10
2023-10-28,SP1,Barcelona,Real Madrid,0,1,2,15,13,3,4,1194.31789451086,1201.09869140373,5,0,0,0,5,2,0,1,11,10,24,25,24,25,-1,1,2,-2,-1,1,2,1,4,3,13,15
2023-10-28,SP1,Mallorca,Getafe,1,0,0,15,8,4,0,936.403138543382,969.865783355871,0,0,0,0,3,2,4,5,3,4,8,11,8,11,0,0,7,-7,4,-4,0,0,0,4,8,15
2023-10-28,SP1,Cadiz,Sevilla,1,2,2,10,20,5,10,896.286239331636,992.578806655574,0,0,1,1,0,0,2,3,2,6,9,9,9,9,0,0,-10,10,-5,5,2,2,10,5,20,10
2023-10-29,SP1,Betis,Osasuna,2,2,1,9,7,2,1,1013.56458376962,984.464858763769,1,0,0,1,4,0,0,1,7,7,14,13,14,13,1,-1,2,-2,1,-1,1,2,1,2,7,9
2023-10-29,SP1,Vallecano,Sociedad,1,2,2,16,15,7,3,1022.21190982198,1126.07824175707,0,0,0,1,3,0,2,1,7,12,16,18,16,18,0,0,1,-1,4,-4,2,2,3,7,15,16
2023-10-29,SP1,Athletic Club,Valencia,1,2,2,12,11,7,5,1057.7577105252,998.442451120487,1,0,0,0,4,1,0,4,7,5,17,14,17,14,0,0,1,-1,2,-2,2,2,5,7,11,12
2023-10-29,SP1,Ath Madrid,Alaves,2,2,1,11,8,7,1,1208.5862435291,889.058948810833,4,0,0,0,4,2,0,5,15,3,22,9,22,9,1,-1,3,-3,6,-6,1,2,1,7,8,11
2023-10-30,SP1,Granada,Villarreal,0,2,3,18,6,8,5,844.769655139627,914.096251279193,0,0,0,0,2,2,3,3,3,3,6,9,6,9,-1,1,12,-12,3,-3,3,2,5,8,6,18
2023-11-03,SP1,Las Palmas,Ath Madrid,2,2,1,9,13,3,5,968.894574900801,1217.36247036376,0,2,1,0,0,2,1,0,9,15,13,25,14,25,1,-1,-4,4,-2,2,1,2,5,3,13,9
2023-11-04,SP1,Osasuna,Girona,0,2,4,15,11,3,4,955.138792835558,1148.20273203984,1,4,0,0,1,5,0,0,6,12,10,27,13,28,-2,2,4,-4,-1,1,4,2,4,3,11,15
2023-11-04,SP1,Betis,Mallorca,2,2,0,22,8,3,1,1042.89064969783,937.939402968764,2,0,0,1,5,0,0,3,9,4,14,8,17,9,2,-2,14,-14,2,-2,0,2,1,3,8,22
2023-11-04,SP1,Celta,Sevilla,1,1,1,15,13,3,5,862.99726032551,988.254528015215,0,0,1,0,0,1,6,4,2,6,6,10,6,10,0,0,2,-2,-2,2,1,1,5,3,13,15
2023-11-04,SP1,Sociedad,Barcelona,0,0,1,13,12,6,4,1121.43259940572,1162.9423497013,4,0,0,0,6,5,0,2,10,8,18,23,19,24,-1,1,1,-1,2,-2,1,0,4,6,12,13
2023-11-05,SP1,Alaves,Almeria,2,1,0,23,9,3,3,880.282721976169,770.324024415919,0,0,0,4,1,0,3,5,3,1,9,3,9,3,1,-1,14,-14,0,0,0,1,3,3,9,23
2023-11-05,SP1,Valencia,Granada,2,1,0,11,6,2,1,1001.14778712979,819.071455525867,1,0,0,1,1,0,0,5,5,3,12,6,15,6,1,-1,5,-5,1,-1,0,1,1,2,6,11
2023-11-05,SP1,Villarreal,Athletic Club,0,2,3,17,17,6,7,939.794450892953,1055.05237451589,0,0,0,2,1,0,3,2,5,5,12,18,12,18,-1,1,0,0,-1,1,3,2,7,6,17,17
2023-11-05,SP1,Real Madrid,Vallecano,1,0,0,22,4,5,0,1232.4742362133,1026.85755217333,4,1,0,0,4,3,0,0,13,7,25,14,28,17,0,0,18,-18,5,-5,0,0,0,5,4,22
